DEVICE_ID,DEVICE_TYPE,PETAL_ID,BUS_ID,CAN_ID,SI_ID,FULL_SI_ID,PETAL_LOC,DEVICE_LOC,FVC_ID,SLIT_ID,SLITBLOCK_ID,BLOCKFIBER_ID,SPECTRO_ID,FIRMWARE_VER
00001,POS,,,1001,,,,,00136,,,,,
00002,POS,,,1002,,,,,00137,,,,,
00003,POS,,,,,,,,00138,,,,,
00004,POS,,,558,,,,,00139,,,,,
00005,POS,,,,,,,,00140,,,,,
00006,POS,,,,,,,,00141,,,,,
00007,POS,,,,,,,,00142,,,,,
00008,POS,,,,,,,,00143,,,,,
00009,POS,,,9,47:b4:19:02:25:67:01:13,,,,00144,,,,,
00010,POS,99,15,10,47:b4:19:02:12:56:01:13,12:56:01:43:37:ff:d7:05:41:4b:36:32,,293,00145,,,,,4.3
00011,POS,,,11,47:b4:19:02:24:81:03:13,U:  L: ,,,00146,,,,,
00012,POS,99,15,12,47:b4:19:02:17:65:03:13,17:65:03:43:37:ff:d8:05:41:4b:36:32,,298,00147,,,,,4.3
00013,POS,99,16,13,47:b4:19:02:36:82:03:13,36:82:03:43:37:ff:db:05:41:4b:36:32,,504,00148,,,,,4.3
00014,POS,99,14,14,47:b4:19:02:21:78:03:13,21:78:03:43:37:ff:d8:05:41:4b:36:32,,526,00149,,,,,4.3
00015,POS,,,15,47:b4:19:02:20:87:03:13,20:87:03:43:37:ff:d9:05:41:4b:36:32,,,00150,,,,,3.0
00016,POS,,,,,,,,00151,,,,,
00017,POS,,,,,,,,00152,,,,,
00018,POS,99,12,18,47:b4:19:02:13:78:01:13,13:78:01:43:37:ff:dd:05:41:4b:36:32,,151,00153,,,,,
00019,POS,99,16,19,47:b4:19:02:32:67:01:13,32:67:01:43:37:ff:d5:05:41:4b:36:32,,518,00154,,,,,4.3
00020,POS,,,20,47:b4:19:02:09:67:03:13,,,,00155,,,,,
00021,POS,,,,,,,,00156,,,,,
00022,POS,,,22,47:b4:19:02:39:75:01:13,39:75:01:43:37:ff:d7:05:41:4b:36:32,,,00157,,,,,4.3
00023,POS,,,,,,,,00158,,,,,
00024,POS,,,,,,,,00159,,,,,
00025,POS,,,,,,,,00160,,,,,
00026,POS,,,,,,,,00161,,,,,
00027,POS,,,,,,,,00162,,,,,
00028,POS,,,,,,,,00163,,,,,
00029,POS,,,,,,,,00164,,,,,
00030,POS,,,,,,,,00165,,,,,
00031,POS,99,13,31,c3:74:02:08:30:84:07:13,30:84:07:43:33:ff:d7:05:43:57:30:38,,271,00166,,,,,4.3
00032,POS,,,,,,,,00167,,,,,
00033,POS,,,,,,,,00168,,,,,
00034,POS,,,,,,,,00169,,,,,
00035,POS,,,,,,,,00170,,,,,
00036,POS,,,,,,,,00171,,,,,
00037,POS,,,,,,,,00172,,,,,
00038,POS,,,,,,,,00173,,,,,
00039,POS,,,,,,,,00174,,,,,
00040,POS,99,14,40,47:b4:19:02:23:67:01:13,23:67:01:43:37:ff:d8:05:41:4b:36:32,,385,00175,,,,,4.3
00041,POS,,,,,,,,00176,,,,,
00042,POS,,,,,,,,00177,,,,,
00043,POS,99,23,43,47:b4:19:02:32:75:01:13,32:75:01:43:37:ff:d8:05:41:4b:36:32,,229,00178,,,,,
00044,POS,99,23,44,47:b4:19:02:18:76:01:13,18:76:01:43:37:ff:da:05:41:4b:36:32,,301,00179,,,,,4.3
00045,POS,,,,,,,,00180,,,,,
00046,POS,,,,,,,,00181,,,,,
00047,POS,,,,,,,,00182,,,,,
00048,POS,,,,,,,,00183,,,,,
00049,POS,,,,,,,,00184,,,,,
00050,POS,99,12,50,47:b4:19:02:22:60:01:13,22:60:01:43:37:ff:da:05:41:4b:36:32,,181,00185,,,,,
00051,POS,,,51,47:b4:19:02:12:61:01:13,,,,00186,,,,,
00052,POS,1,,52,c3:74:02:08:14:57:06:13,14:57:06:43:33:ff:d8:05:43:57:30:38,,293,00187,,,,,4.3
00053,POS,99,14,53,47:b4:19:02:04:75:03:13,04:75:03:43:37:ff:d8:05:41:4b:36:32,,459,00188,,,,,4.3
00054,POS,,,,,,,,00189,,,,,
00055,POS,99,12,55,47:b4:19:02:26:68:03:13,26:68:03:43:37:ff:d9:05:41:4b:36:32,,137,00190,,,,,
00056,POS,99,,,,,,362,00191,,,,,
00057,POS,99,12,57,47:b4:19:02:08:82:03:13,08:82:03:43:37:ff:d9:05:41:4b:36:32,,124,00192,,,,,
